book_id,goodreads_book_id,authors,original_publication_year,title,language_code
34,10818853,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",eng
35,865,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,eng
36,3636,Lois Lowry,1993.0,"The Giver (The Giver, #1)",eng
37,100915,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng
38,14050,Audrey Niffenegger,2003.0,The Time Traveler's Wife,eng
39,13496,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",eng
40,19501,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",eng
41,28187,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng
42,1934,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",eng
43,10210,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,eng
44,15931,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",eng
45,4214,Yann Martel,2001.0,Life of Pi,
46,43641,Sara Gruen,2006.0,Water for Elephants,eng
47,19063,Markus Zusak,2005.0,The Book Thief,eng
48,4381,Ray Bradbury,1953.0,Fahrenheit 451,spa
49,49041,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",eng
50,30119,Shel Silverstein,1974.0,Where the Sidewalk Ends,eng
51,256683,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",eng
52,428263,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",eng
53,113436,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",eng
54,11,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",eng
55,5129,Aldous Huxley,1932.0,Brave New World,eng
56,1162543,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",eng
57,37435,Sue Monk Kidd,2001.0,The Secret Life of Bees,eng
58,2956,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,eng
59,24178,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,eng
60,1618,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,eng
61,22557272,Paula Hawkins,2015.0,The Girl on the Train,eng
62,119322,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",eng
63,6185,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,eng
64,10917,Jodi Picoult,2004.0,My Sister's Keeper,eng
65,4981,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,eng
66,18405,Margaret Mitchell,1936.0,Gone with the Wind,eng
67,128029,Khaled Hosseini,2007.0,A Thousand Splendid Suns,eng
68,22628,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,eng
69,11735983,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",eng
70,375802,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",eng
71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,eng
72,11588,Stephen King,1977.0,The Shining (The Shining #1),eng
73,1656001,Stephenie Meyer,2008.0,"The Host (The Host, #1)",eng
74,99561,John Green,2005.0,Looking for Alaska,eng
75,227443,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",eng
76,14935,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,eng
77,38709,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",eng
78,5139,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng
79,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,eng
80,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,eng
81,7445,Jeannette Walls,2005.0,The Glass Castle,eng
82,1845,Jon Krakauer,1996.0,Into the Wild,eng
83,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,eng
84,7677,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",spa
85,370493,Shel Silverstein,1964.0,The Giving Tree,eng
86,32542,John Grisham,1989.0,A Time to Kill,eng
87,1617,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),eng
88,6442769,John Green,2008.0,Paper Towns,eng
89,21787,William Goldman,1973.0,The Princess Bride ,eng
90,231804,S.E. Hinton,1967.0,The Outsiders,eng
91,6186357,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",eng
92,1202,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",eng
93,2998,Frances Hodgson Burnett,1911.0,The Secret Garden,eng
94,320,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,eng
95,5297,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,eng
96,13536860,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",eng
97,17245,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,eng
98,5060378,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",eng
99,11857408,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",eng
100,7244,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng
101,4137,David Sedaris,2000.0,Me Talk Pretty One Day,eng
102,19543,Maurice Sendak,1963.0,Where the Wild Things Are,eng
103,7126,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,eng
104,6288,Cormac McCarthy,2006.0,The Road,eng
105,18710190,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",eng
106,9418327,Tina Fey,2011.0,Bossypants,eng
107,3473,Nicholas Sparks,1999.0,A Walk to Remember,eng
108,9416,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",eng
109,24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,eng
110,10572,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng
111,10441,Kim Edwards,2005.0,The Memory Keeper's Daughter,eng
112,15507958,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",eng
113,168668,Joseph Heller,1961.0,Catch-22,eng
114,6900,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,eng
115,2187,Jeffrey Eugenides,2002.0,Middlesex,eng
116,24583,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,eng
117,18131,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",eng
118,7763,Amy Tan,1989.0,The Joy Luck Club,eng
119,38447,Margaret Atwood,1985.0,The Handmaid's Tale,eng
120,452306,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng
121,7604,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,eng
122,37442,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng
123,5358,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",eng
124,7937843,Emma Donoghue,2010.0,Room,eng
125,1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,eng
126,234225,Frank Herbert,1965.0,Dune (Dune Chronicles #1),eng
127,2612,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,eng
128,11084145,Walter Isaacson,2011.0,Steve Jobs,eng
129,332613,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,eng
130,2165,Ernest Hemingway,1952.0,The Old Man and the Sea,eng
131,4395,John Steinbeck,1939.0,The Grapes of Wrath,eng
132,3431,Mitch Albom,2003.0,The Five People You Meet in Heaven,
133,8127,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",eng
134,3777732,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",eng
135,62291,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",eng
136,137791,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,eng
137,10964,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",eng
138,12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,eng
139,9460487,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",eng
140,6892870,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",eng
141,18007564,Andy Weir,2012.0,The Martian,eng
142,5043,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng
143,18143977,Anthony Doerr,2014.0,All the Light We Cannot See,eng
144,8664353,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng
145,976,Dan Brown,2001.0,Deception Point,eng
146,17333223,Donna Tartt,2013.0,The Goldfinch,eng
147,1217100,Jay Asher,2007.0,Thirteen Reasons Why,eng
148,2865,Tracy Chevalier,1999.0,Girl with a Pearl Earring,eng
149,4374400,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",eng
150,4989,Anita Diamant,1997.0,The Red Tent,eng
151,28186,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng
152,5526,Nicholas Sparks,2006.0,Dear John,eng
153,1582996,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",eng
154,8852,William Shakespeare,1606.0,Macbeth,eng
155,15241,J.R.R. Tolkien,1954.0,"The Two Towers (The Lord of the Rings, #2)",eng
156,42156,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",eng
157,23772,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,eng
158,6310,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng
159,2120932,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng
160,2623,Charles Dickens,1860.0,Great Expectations,eng
161,18512,J.R.R. Tolkien,1955.0,"The Return of the King (The Lord of the Rings, #3)",eng
162,49552,"Albert Camus, Matthew    Ward",1942.0,The Stranger,eng
163,7736182,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",eng
164,15745753,Rainbow Rowell,2013.0,Eleanor & Park,eng
165,13497,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",eng
166,7735333,Ally Condie,2010.0,"Matched (Matched, #1)",eng
167,4407,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",eng
168,149267,"Stephen King, Bernie Wrightson",1978.0,The Stand,eng
169,6400090,Nicholas Sparks,2008.0,The Last Song,eng
170,11125,Dan Brown,1998.0,Digital Fortress,eng
171,6969,"Jane Austen, Fiona Stafford",1815.0,Emma,eng
172,15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Anna Karenina,eng
173,227463,Anthony Burgess,1962.0,A Clockwork Orange,eng
174,1812457,William Paul Young,2007.0,The Shack,eng
175,4502507,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng
176,18342,Stephen King,1986.0,It,eng
177,7144,"Fyodor Dostoyevsky, David McDuff",1866.0,Crime and Punishment,eng
178,6514,Sylvia Plath,1963.0,The Bell Jar,eng
179,252577,Frank McCourt,1996.0,"Angela's Ashes (Frank McCourt, #1)",eng
180,52036,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,eng
181,168642,Truman Capote,1965.0,In Cold Blood,eng
182,6304335,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",eng
183,7171637,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",eng
184,39988,"Roald Dahl, Quentin Blake",1988.0,Matilda,eng
185,9361589,Erin Morgenstern,2011.0,The Night Circus,eng
186,37470,Philippa Gregory,2001.0,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng
187,24770,Scott Westerfeld,2005.0,"Uglies (Uglies, #1)",eng
188,10664113,George R.R. Martin,2011.0,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng
189,33,J.R.R. Tolkien,1955.0,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng
190,12262741,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,eng
191,472331,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,eng
192,186074,Patrick Rothfuss,2007.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng
193,3228917,Malcolm Gladwell,2008.0,Outliers: The Story of Success,eng
194,153747,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby-Dick or, The Whale",eng
195,2728527,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,eng
196,5759,Chuck Palahniuk,1996.0,Fight Club,eng
197,301082,Charlaine Harris,2001.0,"Dead Until Dark (Sookie Stackhouse, #1)",eng
198,11486,Alice Walker,1982.0,The Color Purple,eng
199,12691,John Grogan,2005.0,Marley and Me: Life and Love With the World's Worst Dog,eng
200,16299,Agatha Christie,1939.0,And Then There Were None,eng
201,6411961,Dan Brown,2009.0,"The Lost Symbol (Robert Langdon, #3)",eng
202,6339664,Becca Fitzpatrick,2009.0,"Hush, Hush (Hush, Hush, #1)",eng
203,11505797,Jamie McGuire,2011.0,"Beautiful Disaster (Beautiful, #1)",eng
204,5326,Charles Dickens,1843.0,A Christmas Carol,
205,43763,Anne Rice,1976.0,"Interview with the Vampire (The Vampire Chronicles, #1)",eng
206,10507293,Kiera Cass,2012.0,"The Selection (The Selection, #1)",eng
207,6853,Janet Evanovich,1994.0,"One for the Money (Stephanie Plum, #1)",eng
208,6493208,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,eng
209,23807,Thomas Harris,1988.0,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng
210,345627,Richelle Mead,2007.0,"Vampire Academy (Vampire Academy, #1)",eng
211,40102,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,eng
212,6867,Ian McEwan,2001.0,Atonement,eng
213,485894,"Franz Kafka, Stanley Corngold",1915.0,The Metamorphosis,eng
214,561456,Rick Riordan,2007.0,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng
215,9969571,Ernest Cline,2011.0,Ready Player One,eng
216,3153910,Garth Stein,2006.0,The Art of Racing in the Rain,eng
217,21996,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng
218,13572249,Sylvia Day,2012.0,"Bared to You (Crossfire, #1)",eng
219,11127,"C.S. Lewis, Pauline Baynes",1956.0,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng
220,3609760,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,eng
221,60748,Dave Pelzer,1995.0,"A Child Called ""It"" (Dave Pelzer #1)",eng
222,7869,Robert Ludlum,1980.0,"The Bourne Identity (Jason Bourne, #1)",eng
223,249747,Eoin Colfer,2001.0,"Artemis Fowl (Artemis Fowl, #1)",eng
224,6487308,Lauren Kate,2009.0,"Fallen (Fallen, #1)",eng
225,4406,John Steinbeck,1952.0,East of Eden,eng
226,5886881,Gillian Flynn,2009.0,Dark Places,eng
227,5359,John Grisham,1993.0,The Client,eng
228,228333,"Emma McLaughlin, Nicola Kraus",2002.0,"The Nanny Diaries (Nanny, #1)",eng
229,24213,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland & Through the Looking-Glass,eng
230,2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,eng
231,556602,Tatiana de Rosnay,2007.0,Sarah's Key,eng
232,43615,Stephen King,1982.0,"The Gunslinger (The Dark Tower, #1)",eng
233,9712,"Gabriel García Márquez, Edith Grossman",1985.0,Love in the Time of Cholera,eng
234,439288,Laurie Halse Anderson,1999.0,Speak,eng
235,17802724,Liane Moriarty,2013.0,The Husband's Secret,eng
236,1898,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mount Everest Disaster,eng
237,10592,Stephen King,1974.0,Carrie,
238,242006,Augusten Burroughs,2002.0,Running with Scissors,eng
239,8908,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,eng
240,17212231,Dan Brown,2013.0,"Inferno (Robert Langdon, #4)",eng
241,47281,Lois Lowry,1989.0,Number the Stars,eng
242,13145,James Patterson,1993.0,"Along Came a Spider (Alex Cross, #1)",eng
243,10614,Stephen King,1987.0,Misery,eng
244,66559,Gillian Flynn,2006.0,Sharp Objects,eng
245,2839,Katherine Paterson,1977.0,Bridge to Terabithia,eng
246,30183,"P.C. Cast, Kristin Cast",2007.0,"Marked (House of Night, #1)",eng
247,36072,Stephen R. Covey,1989.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,eng
248,1622,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,eng
249,4588,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,eng
250,11387515,R.J. Palacio,2012.0,Wonder,eng
251,233093,Dr. Seuss,1957.0,The Cat in the Hat,eng
252,11235712,Marissa Meyer,2012.0,"Cinder (The Lunar Chronicles, #1)",eng
253,16160797,"Robert Galbraith, J.K. Rowling",2013.0,"The Cuckoo's Calling (Cormoran Strike, #1)",eng
254,6068551,Maggie Stiefvater,2009.0,"Shiver (The Wolves of Mercy Falls, #1)",eng
255,662,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,eng
256,49436,"Greg Mortenson, David Oliver Relin",2006.0,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,eng
257,13023,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,Alice in Wonderland,eng
258,1232,"Carlos Ruiz Zafón, Lucia Graves",2001.0,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng
259,7631105,James Dashner,2010.0,"The Scorch Trials (Maze Runner, #2)",eng
260,4865,Dale Carnegie,1936.0,How to Win Friends and Influence People,eng
261,480479,Frances Mayes,1996.0,Under the Tuscan Sun,eng
262,19486412,Liane Moriarty,2014.0,Big Little Lies,eng
263,24337,Gail Carson Levine,1997.0,Ella Enchanted,eng
264,3876,Ernest Hemingway,1926.0,The Sun Also Rises,eng
265,14891,Betty  Smith,1943.0,A Tree Grows in Brooklyn,eng
266,13148,James Patterson,1995.0,"Kiss the Girls (Alex Cross, #2)",eng
267,21853621,Kristin Hannah,2015.0,The Nightingale,eng
268,6334,Kazuo Ishiguro,2005.0,Never Let Me Go,eng
269,366522,Cecelia Ahern,2003.0,P.S. I Love You,eng
270,12873,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,eng
271,18373,Daniel Keyes,1966.0,Flowers for Algernon,eng
272,6952,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989.0,Like Water for Chocolate,eng
273,1103,Lisa See,2005.0,Snow Flower and the Secret Fan,eng
274,22034,"Mario Puzo, Robert Thompson, Peter Bart",1969.0,The Godfather,eng
275,49750,John Green,2006.0,An Abundance of Katherines,eng
276,29579,Isaac Asimov,1951.0,Foundation (Foundation #1),eng
277,15783514,Neil Gaiman,2013.0,The Ocean at the End of the Lane,eng
278,30118,Shel Silverstein,1981.0,A Light in the Attic,eng
279,29056083,"John Tiffany, Jack Thorne, J.K. Rowling",2016.0,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",eng
280,11614718,Lauren Oliver,2011.0,"Delirium (Delirium, #1)",eng
281,32499,John Grisham,1992.0,The Pelican Brief,eng
282,17061,Neil Gaiman,2002.0,Coraline,eng
283,12067,"Terry Pratchett, Neil Gaiman",1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",eng
284,70401,Jack Kerouac,1955.0,On the Road,eng
285,16181775,Graeme Simsion,2013.0,"The Rosie Project (Don Tillman, #1)",eng
286,3063499,Nicholas Sparks,2008.0,The Lucky One,eng
287,2122,"Ayn Rand, Leonard Peikoff",1943.0,The Fountainhead,eng
288,19691,Tom Clancy,1984.0,"The Hunt for Red October (Jack Ryan Universe, #4)",
289,76620,Richard Adams,1972.0,"Watership Down (Watership Down, #1)",eng
290,10335308,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),eng
291,3591262,Abraham Verghese,2009.0,Cutting for Stone,eng
292,140225,"C.S. Lewis, Pauline Baynes",1951.0,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng
293,295,Robert Louis Stevenson,1882.0,Treasure Island,eng
294,9520360,Rick Riordan,2011.0,"The Son of Neptune (The Heroes of Olympus, #2)",eng
295,10644930,Stephen King,2011.0,11/22/63,eng
296,4948,Eric Carle,1969.0,The Very Hungry Caterpillar Board Book,eng
297,135479,Kurt Vonnegut Jr.,1963.0,Cat's Cradle,eng
298,2493,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,The Time Machine,eng
299,7933292,"Todd Burpo, Lynn Vincent",2010.0,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,eng
300,39999,John Boyne,2006.0,The Boy in the Striped Pajamas,eng
301,4900,Joseph Conrad,1899.0,Heart of Darkness,eng
302,7812659,Nicholas Sparks,2010.0,Safe Haven,eng
303,52529,Rhonda Byrne,2006.0,"The Secret (The Secret, #1)",eng
304,227711,Wally Lamb,1998.0,I Know This Much Is True,eng
305,10583,Stephen King,1983.0,Pet Sematary,eng
306,5203,Wally Lamb,1992.0,She's Come Undone,eng
307,1215032,Patrick Rothfuss,2011.0,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",eng
308,33724,Sophie Kinsella,2003.0,Can You Keep a Secret?,eng
309,6752378,Cassandra Clare,2011.0,"City of Fallen Angels (The Mortal Instruments, #4)",eng
310,14748,Jennifer Weiner,2001.0,"Good in Bed (Cannie Shapiro, #1)",eng
311,3412,Colleen McCullough,1977.0,The Thorn Birds,eng
312,2213661,"Neil Gaiman, Dave McKean",2008.0,The Graveyard Book,eng
313,13158800,M.L. Stedman,2012.0,The Light Between Oceans,eng
314,28194,"Cornelia Funke, Anthea Bell",2003.0,"Inkheart (Inkworld, #1)",eng
315,4894,"Spencer Johnson, Kenneth H. Blanchard",1998.0,Who Moved My Cheese?,eng
316,9791,Bill Bryson,1997.0,A Walk in the Woods,eng
317,13214,Maya Angelou,1969.0,I Know Why the Caged Bird Sings,eng
318,15818107,Christina Baker Kline,2013.0,Orphan Train,eng
319,8755776,Cassandra Clare,2012.0,"City of Lost Souls (The Mortal Instruments, #5)",eng
320,13526165,Maria Semple,2012.0,"Where'd You Go, Bernadette",eng
321,10365,Wilson Rawls,1961.0,Where the Red Fern Grows,
322,14497,Neil Gaiman,1996.0,Neverwhere,eng
323,9717,"Milan Kundera, Michael Henry Heim",1984.0,The Unbearable Lightness of Being,eng
324,16068905,Rainbow Rowell,2013.0,Fangirl,eng
325,4473,John Irving,1989.0,A Prayer for Owen Meany,eng
326,32234,Janet Fitch,1999.0,White Oleander,eng
327,9275658,Marie Lu,2011.0,"Legend (Legend, #1)",eng
328,14866,Jodi Picoult,2007.0,Nineteen Minutes,eng
329,2318271,"Randy Pausch, Jeffrey Zaslow",2008.0,The Last Lecture,eng
330,228665,Robert Jordan,1990.0,"The Eye of the World (Wheel of Time, #1)",eng
331,10916,Jodi Picoult,1998.0,The Pact,eng
332,65605,C.S. Lewis,1953.0,"The Magician's Nephew (Chronicles of Narnia, #6)",eng
333,2153405,Lisa Genova,2007.0,Still Alice,eng
334,13596809,Sylvia Day,2012.0,"Reflected in You (Crossfire, #2)",eng
335,6689,"Roald Dahl, Quentin Blake",1961.0,James and the Giant Peach,eng
336,13137,James Patterson,2001.0,"1st to Die (Women's Murder Club, #1)",eng
337,13,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide to the Galaxy,eng
338,6280118,David Nicholls,2009.0,One Day,eng
339,32929,"Margaret Wise Brown, Clement Hurd",1947.0,Goodnight Moon,eng
340,7747374,Pittacus Lore,2010.0,"I Am Number Four (Lorien Legacies, #1)",eng
341,1371,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0,The Iliad,eng
342,13497818,J.K. Rowling,2012.0,The Casual Vacancy,eng
343,24192,John Grisham,1996.0,The Runaway Jury,eng
344,4138,David Sedaris,1997.0,Naked,eng
345,45978,Christopher Paolini,2005.0,"Eldest (The Inheritance Cycle, #2)",eng
346,236093,"L. Frank Baum, W.W. Denslow",1900.0,"The Wonderful Wizard of Oz (Oz, #1)",eng
